"id","down_time_train","interval_giving","idle_train","travel_time","crew_down_time","crew_down_time_plan","intermediate_down_time","route_id","sender_id","receiver_id","real_wagon_loading","real_train_weight_gross","real_train_wight_net","cargo_type_id","empty_types_id","down_time","axis_count"
12169,"0.666667","0.0","10.833333","33.083333","4.233312","3.683352","6.866667",8580,109,1506,48,"4496.3","3354.5",122,1,"10.833333",192
12170,"0.666667","0.0","5.55","15.283333","3.516648","5.949984","4.283333",8580,109,1506,48,"4492.0","3355.0",109,1,"5.55",192
12171,"3.75","0.0","2.4","2.516667",NULL,NULL,NULL,7502,505,131,70,"1666.0","0.0",1141,0,"2.4",280
12174,"0.5","0.0","2.133333","35.583333","4.716672",NULL,"3.733333",7500,485,82,53,"4965.0","3707.5",102,1,"2.133333",212
12175,"0.5","0.0","1.083333","3.5",NULL,NULL,NULL,7492,131,505,70,"6553.8","4892.5",5229,1,"1.083333",280
12176,"0.5","0.0","1.833333","3.166667",NULL,NULL,NULL,7496,131,132,67,"6278.3","4684.5",5229,1,"1.833333",268
12177,"0.85","0.0","2.083333","2.816667",NULL,NULL,NULL,7492,131,505,70,"6556.9","4896.0",5229,1,"2.083333",280
12178,"3.2","0.0","4.15","3.15",NULL,NULL,NULL,7502,505,131,70,"1667.0","0.0",1141,0,"4.15",280
12179,"0.466667","0.0","1.733333","3.8",NULL,NULL,NULL,7497,241,82,67,"6267.5","4678.0",5611,1,"1.733333",268
12180,"2.0","0.0","3.666667","3.75",NULL,NULL,NULL,7503,132,131,68,"1662.0","0.0",1141,0,"3.666667",272
12181,"0.85","0.0","1.166667","2.65",NULL,NULL,NULL,7492,131,505,70,"6552.4","4889.5",5229,1,"1.166667",280
12182,"2.0","0.0","3.033333","3.466667",NULL,NULL,NULL,7502,505,131,70,"1662.0","0.0",1141,0,"3.033333",280
12183,"0.583333","0.0","6.066667","48.266667",NULL,NULL,NULL,8590,1506,109,49,"1165.8","0.0",1141,0,"6.066667",196
12184,"0.583333","0.0","3.666667","29.25","7.099992",NULL,NULL,8590,1506,109,51,"1209.7","0.0",1141,0,"3.666667",204
12185,"0.583333","0.0","4.033333","26.966667","5.516664",NULL,NULL,7505,82,1465,70,"1667.0","0.0",1141,0,"4.033333",280
12186,"0.5","0.0","1.966667","39.116667","13.78332",NULL,NULL,7474,1465,82,53,"4961.8","3706.0",102,1,"1.966667",212
12187,"2.35","0.0","2.433333","2.683333",NULL,NULL,NULL,7502,505,131,70,"1657.0","0.0",1141,0,"2.433333",280
12188,"3.083333","0.0","2.816667","3.1",NULL,NULL,"0.2",7492,131,107,70,"6553.7","4890.0",5229,1,"2.816667",280
12189,"0.733333","0.0","4.15","34.45","4.65","5.666664","3.766667",8580,109,1506,48,"4488.7","3354.5",109,1,"4.15",192
12190,"0.816667","0.0","1.333333","2.683333",NULL,NULL,NULL,7492,131,505,70,"6556.2","4894.0",5229,1,"1.333333",280
12191,"0.583333","0.0","3.616667","44.283333","13.21668","3.649992",NULL,7501,82,485,69,"1637.0","0.0",1141,0,"3.616667",276
12192,"2.0","0.0","3.083333","2.833333",NULL,NULL,NULL,7502,505,131,68,"1614.0","0.0",1141,0,"3.083333",272
12193,"2.416667","0.0","3.366667","3.216667",NULL,NULL,NULL,7503,132,131,67,"1591.0","0.0",1141,0,"3.366667",268
12194,"0.583333","0.0","2.166667","27.583333","2.4","1.683336","0.166667",7498,131,109,64,"5994.4","4472.5",5229,1,"2.166667",256
12195,"2.083333","0.0","2.55","2.616667",NULL,NULL,NULL,7502,505,131,70,"1661.0","0.0",1141,0,"2.55",280
12196,"0.783333","0.0","1.866667","3.35",NULL,NULL,NULL,7492,131,505,70,"6553.9","4893.5",5229,1,"1.866667",280
12197,"1.5","0.0","3.383333","3.783333",NULL,NULL,NULL,7504,82,241,71,"1688.0","0.0",1141,0,"3.383333",284
12198,"0.45","0.0","1.5","3.716667",NULL,NULL,NULL,7496,131,132,67,"6273.3","4684.0",5229,1,"1.5",268
12199,"2.0","0.0","3.916667","2.666667",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"3.916667",280
12200,"0.5","0.0","1.916667","34.416667","11.11668",NULL,NULL,7474,1465,82,53,"4966.1","3706.0",102,1,"1.916667",212
12201,"0.5","0.0","4.8","3.05",NULL,NULL,NULL,7492,131,505,70,"6556.7","4891.0",5229,1,"4.8",280
12202,"1.966667","0.0","1.966667","2.733333",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"1.966667",280
12203,"0.583333","0.0","1.066667","35.35","9.6","0.6",NULL,8590,1506,109,48,"1138.8","0.0",1141,0,"1.066667",192
12204,"0.95","0.0","3.633333","3.0",NULL,NULL,NULL,7492,131,505,70,"6559.1","4891.5",5229,1,"3.633333",280
12205,"2.0","0.0","7.583333","3.833333",NULL,NULL,NULL,7503,132,131,66,"1571.0","0.0",1141,0,"7.583333",264
12206,"1.283333","1.0","1.5","2.883333",NULL,NULL,NULL,7496,131,132,67,"6273.3","4683.5",5229,1,"1.5",268
12207,"0.666667","0.0","4.916667","79.416667","56.933328",NULL,"2.616667",8580,109,1506,48,"4500.3","3353.5",109,1,"4.916667",192
12208,"2.0","0.0","2.533333","2.8",NULL,NULL,NULL,7502,505,131,71,"1661.0","0.0",1141,0,"2.533333",284
12209,"0.466667","0.0","2.116667","30.75","5.983344",NULL,NULL,7500,485,82,53,"4963.3","3704.5",102,1,"2.116667",212
12210,"1.083333","0.0","5.683333","3.15",NULL,NULL,NULL,7492,131,505,70,"6557.2","4896.5",5229,1,"5.683333",280
12211,"4.033333","0.0","10.55","3.0",NULL,NULL,NULL,7503,82,131,71,"1686.0","0.0",1141,0,"10.55",284
12212,"2.0","0.0","2.55","3.116667",NULL,NULL,NULL,7502,107,131,70,"1664.0","0.0",1141,0,"2.55",280
12213,"0.583333","0.0","2.666667","28.166667","7.166664",NULL,NULL,7505,82,1465,71,"1691.0","0.0",1141,0,"2.666667",284
12214,"0.616667","0.0","5.083333","2.8",NULL,NULL,NULL,7492,131,505,70,"6549.6","4893.3",5229,1,"5.083333",280
12215,"0.583333","0.0","4.016667","35.066667",NULL,NULL,NULL,8590,1506,109,48,"1141.3","0.0",1141,0,"4.016667",192
12216,"0.583333","0.0","6.316667","26.766667","5.066664",NULL,NULL,8590,1506,109,48,"1141.1","0.0",1141,0,"6.316667",192
12217,"0.5","0.0","1.75","2.516667",NULL,NULL,NULL,7492,131,505,70,"6554.8","4891.8",5229,1,"1.75",280
12218,"2.5","0.0","2.466667","2.783333",NULL,NULL,NULL,7502,505,131,70,"1666.0","0.0",1141,0,"2.466667",280
12219,"2.383333","0.0","2.333333","3.366667",NULL,NULL,NULL,7503,132,131,67,"1590.0","0.0",1141,0,"2.333333",268
12220,"0.466667","0.0","2.383333","4.4",NULL,NULL,NULL,7497,241,82,67,"6276.4","4684.0",5611,1,"2.383333",268
12221,"3.95","0.0","2.583333","1.883333",NULL,NULL,NULL,7502,505,131,70,"1668.0","0.0",1141,0,"2.583333",280
12222,"0.583333","0.0","2.716667","41.933333","12.833328",NULL,NULL,7501,82,485,71,"1683.0","0.0",1141,0,"2.716667",284
12223,"0.5","0.0","6.8","2.95",NULL,NULL,NULL,7492,131,505,70,"6556.9","4896.0",5229,1,"6.8",280
12224,"0.583333","0.0","8.866667","27.966667","6.083328",NULL,"0.316667",8590,1506,109,47,"1116.8","0.0",1141,0,"8.866667",188
12225,"0.583333","0.0","3.75","26.583333","5.766648",NULL,"1.783333",8580,109,1506,48,"4493.0","3359.0",109,1,"3.75",192
12226,"1.016667","1.0","5.683333","2.883333",NULL,NULL,NULL,7492,131,505,70,"6552.7","4889.8",5229,1,"5.683333",280
12227,"0.583333","0.0","2.083333","38.166667","13.899984",NULL,"0.483333",7498,131,109,64,"5995.9","4476.0",5229,1,"2.083333",256
12228,"3.566667","0.0","2.833333","2.766667",NULL,NULL,NULL,7502,505,131,70,"1661.0","0.0",1141,0,"2.833333",280
12229,"0.0","0.0","1.25","45.333333","6.349992","9.499992",NULL,7474,1465,82,53,"4963.2","3705.0",102,1,"1.25",212
12230,"0.433333","0.0","4.116667","3.033333",NULL,NULL,NULL,7496,131,132,67,"6278.8","4684.5",5229,1,"4.116667",268
12231,"1.083333","1.0","0.666667","34.333333","9.666672","0.683328",NULL,7500,485,82,53,"4967.1","3706.5",102,1,"0.666667",212
12232,"0.5","0.0","5.0","3.333333",NULL,NULL,NULL,7492,131,505,70,"6557.2","4895.0",5229,1,"5.0",280
12233,"2.0","0.0","3.166667","2.75",NULL,NULL,NULL,7502,505,131,70,"1657.0","0.0",1141,0,"3.166667",280
12234,"2.166667","0.0","7.4","4.016667",NULL,NULL,NULL,7503,82,131,71,"1686.0","0.0",1141,0,"7.4",284
12235,"2.95","0.0","1.883333","3.25",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"1.883333",280
12236,"1.866667","1.0","4.566667","3.316667",NULL,NULL,NULL,7496,131,132,67,"6271.7","4680.5",5229,1,"4.566667",268
12237,"1.666667","0.0","15.166667","3.666667",NULL,NULL,NULL,7504,82,241,71,"1689.0","0.0",1141,0,"15.166667",284
12238,"3.416667","0.0","2.166667","2.916667",NULL,NULL,NULL,7502,505,131,70,"1661.0","0.0",1141,0,"2.166667",280
12239,"2.0","0.0","6.366667","1.216667",NULL,NULL,NULL,7503,132,131,67,"1590.0","0.0",1141,0,"6.366667",268
12240,"1.983333","0.0","6.033333","3.316667",NULL,NULL,NULL,7492,131,505,70,"6553.9","4893.5",5229,1,"6.033333",280
12241,"2.0","0.0","2.416667","2.75",NULL,NULL,NULL,7502,505,131,70,"1663.0","0.0",1141,0,"2.416667",280
12242,"0.583333","0.0","5.333333","26.5","5.116656",NULL,NULL,7505,82,1465,71,"1686.0","0.0",1141,0,"5.333333",284
12243,"0.583333","0.0","2.266667","36.95","8.96664",NULL,NULL,7501,82,485,71,"1685.0","0.0",1141,0,"2.266667",284
12244,"1.55","0.0","6.55","3.983333",NULL,NULL,NULL,7492,131,505,70,"6552.7","4891.5",5229,1,"6.55",280
